Metraje,Cantidad de habitaciones,Baños,apartment_type,project_name,project_url,project_description,project_c_time,project_m_time,project_img_url,project_zone,project_status,project_lat,project_lon,Parqueos,Cuotas desde,Precio desde,Incluye bodega,Incluye área de servicio
43.52m²,1,1,Apto 43.52m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,1,,"Q1,100,500",,
46.13m²,1,1,Apto 46.13m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,1,,,,
79.69m²,2,2,Apto 79.69m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,2,,"Q1,630,000",,
82.96m²,2,2,Apto 82.96m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,2,,,,
92.54m²,3,2,Apto 92.54m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,2,,"Q1,805,000",,
103.87m²,3,2,Apto 103.87m2,fore-muxbal,https://citymap.com.gt/propiedades/fore-muxbal/,"Ubicados en Muxbal con precio desde Q10,400. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 12 amenidades. Direccion: Diagonal 6, 19-30 Zona 10.",2024-07-02T18:00:53+00:00,2025-01-21T17:57:36+00:00,https://citymap.com.gt/wp-content/uploads/2024/07/fore-muxbal.jpg,carretera-muxbal,Null,14.562802061793466,-90.476525684826,2,,,,
44m²,1,1,Estilo N1-1D,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$119,000",,
32m²,1,1,Estilo NT3,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$102,000",,
34m²,1,1,Estilo NT4,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$107,000",,
111m²,2,2,Estilo N1-2D,ativo-apartamentos,https://citymap.com.gt/propiedades/ativo-apartamentos/,"Ubicados en Zona 13. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 8 amenidades. Direccion: 22 Calle 14-58 Zona 13. Ativo apa tame tos e  zo a 13
Ativo cue ta co  56 apa tame tos de 1, 2 y 3 habitacio es. Los apa tame tos sob esale  po  sus techos de 3 met os de altu a y co c eto expuesto.

Los espacios está  diseñados pa a que sea  amplios y cómodos pa a u a pa eja, u a familia o amigos",2021-07-19T18:41:21+00:00,2024-06-13T18:41:19+00:00,https://citymap.com.gt/wp-content/uploads/2021/07/ATIVO.jpg,zona-13,Null,14.5740519962143,-90.52670085341042,1,,"$215,000",,
