project_name,apartment_type,project_url,project_description,project_img_url,project_zone,project_status,project_lat,project_lon,apartment_m2,apartment_beds,apartment_baths,apartment_parking,apartment_has_serviceroom,apartment_has_storeroom,apartment_rent,apartment_price,project_c_date,project_m_date,apartment_rent_m2,apartment_price_m2
atzul,Apartamento 3H1,https://citymap.com.gt/propiedades/atzul/,"Ubicados en Zona 21. Con apartamentos de 3 habitaciones. Con más de 6 amenidades. Direccion: 2da Avenida 4-47 Zona 21. Atzul apa tame tos e  zo a 21
Atzul u  luga  t a quilo, co   atu aleza y espacios que i vita  a vivi  y c ece ,Atzulestá  odeado po  5 to es de 9 y 10  iveles co  8 apa tame tos e  cada  ivel, co  u  total de 368 apa tame tos.",https://citymap.com.gt/wp-content/uploads/2020/10/VISTA-3-100-730x450-1.jpg,zona-21,Vendido,14.554835,-90.543092,57.0,3.0,1.0,1.0,,,,,2020-10-29,2024-05-16,,
atzul,Apartamento 3H2,https://citymap.com.gt/propiedades/atzul/,"Ubicados en Zona 21. Con apartamentos de 3 habitaciones. Con más de 6 amenidades. Direccion: 2da Avenida 4-47 Zona 21. Atzul apa tame tos e  zo a 21
Atzul u  luga  t a quilo, co   atu aleza y espacios que i vita  a vivi  y c ece ,Atzulestá  odeado po  5 to es de 9 y 10  iveles co  8 apa tame tos e  cada  ivel, co  u  total de 368 apa tame tos.",https://citymap.com.gt/wp-content/uploads/2020/10/VISTA-3-100-730x450-1.jpg,zona-21,Vendido,14.554835,-90.543092,57.0,3.0,1.0,1.0,,,,,2020-10-29,2024-05-16,,
vias-la-parroquia,Vías 2,https://citymap.com.gt/propiedades/vias-la-parroquia/,"Ubicados en Zona 6. Con apartamentos de 2 o 3 habitaciones. Con más de 3 amenidades. Direccion: 13 Avenida, zona 6, de la ciudad capital, a pocas cuadras del Cerrito del Carmen.. Vías La Pa oquia apa tame tos e  zo a 6
¡Vías La Pa oquia es la  ueva fo ma de vivi  e  zo a 6! Ap ovecha la opo tu idad de adqui i  tu vivie da p opia de fo ma accesible, fácil y segu a.
P oyecto desa ollado po  Milésimo.",https://citymap.com.gt/wp-content/uploads/2021/07/202728749_129903892580509_3803145626112030934_n.jpg,zona-6,Vendido,14.649069,-90.501883,35.0,2.0,1.0,1.0,,,,,2021-07-14,2024-04-09,,
vias-la-parroquia,Vías 3,https://citymap.com.gt/propiedades/vias-la-parroquia/,"Ubicados en Zona 6. Con apartamentos de 2 o 3 habitaciones. Con más de 3 amenidades. Direccion: 13 Avenida, zona 6, de la ciudad capital, a pocas cuadras del Cerrito del Carmen.. Vías La Pa oquia apa tame tos e  zo a 6
¡Vías La Pa oquia es la  ueva fo ma de vivi  e  zo a 6! Ap ovecha la opo tu idad de adqui i  tu vivie da p opia de fo ma accesible, fácil y segu a.
P oyecto desa ollado po  Milésimo.",https://citymap.com.gt/wp-content/uploads/2021/07/202728749_129903892580509_3803145626112030934_n.jpg,zona-6,Vendido,14.649069,-90.501883,46.0,3.0,1.0,1.0,,,,,2021-07-14,2024-04-09,,
torre-pamplona-14calle,Modelo 58 Plus,https://citymap.com.gt/propiedades/torre-pamplona-14calle/,"Ubicados en Zona 12. Con apartamentos de 2 o 3 habitaciones. Con más de 3 amenidades. Direccion: 30 Ave 14-00, Pamplona, zona 12. To e Pamplo a 14 calle apa tame tos e  zo a 12
¿Po qué To e Pamplo a 14 Calle es u a opció  de comp a?

Situado e  la 14 calle de la zo a 12 e  Pamplo a, el p oyecto cue ta co  dos accesos impo ta tes: Po  Calzada Ata asio Tzul y po  30 Ave ida de la zo a 12. Ce ca o a los p i cipales se vicios, ce t os come ciales y e t ete imie to como el Zoológico La Au o a y los museos, To e Pamplo a está ubicado e  u  pu to est atégico y accesible.

& bsp;

& bsp;",https://citymap.com.gt/wp-content/uploads/2020/11/78174720_551757832054989_1168761846505668608_o.jpg,zona-12,Vendido,14.599888,-90.536734,58.0,2.0,1.0,2.0,,,,,2020-11-16,2024-08-15,,
torre-pamplona-14calle,Modelo 69 Plus ,https://citymap.com.gt/propiedades/torre-pamplona-14calle/,"Ubicados en Zona 12. Con apartamentos de 2 o 3 habitaciones. Con más de 3 amenidades. Direccion: 30 Ave 14-00, Pamplona, zona 12. To e Pamplo a 14 calle apa tame tos e  zo a 12
¿Po qué To e Pamplo a 14 Calle es u a opció  de comp a?

Situado e  la 14 calle de la zo a 12 e  Pamplo a, el p oyecto cue ta co  dos accesos impo ta tes: Po  Calzada Ata asio Tzul y po  30 Ave ida de la zo a 12. Ce ca o a los p i cipales se vicios, ce t os come ciales y e t ete imie to como el Zoológico La Au o a y los museos, To e Pamplo a está ubicado e  u  pu to est atégico y accesible.

& bsp;

& bsp;",https://citymap.com.gt/wp-content/uploads/2020/11/78174720_551757832054989_1168761846505668608_o.jpg,zona-12,Vendido,14.599888,-90.536734,69.0,2.0,2.0,2.0,,,,,2020-11-16,2024-08-15,,
torre-pamplona-14calle,Modelo 85 Plus,https://citymap.com.gt/propiedades/torre-pamplona-14calle/,"Ubicados en Zona 12. Con apartamentos de 2 o 3 habitaciones. Con más de 3 amenidades. Direccion: 30 Ave 14-00, Pamplona, zona 12. To e Pamplo a 14 calle apa tame tos e  zo a 12
¿Po qué To e Pamplo a 14 Calle es u a opció  de comp a?

Situado e  la 14 calle de la zo a 12 e  Pamplo a, el p oyecto cue ta co  dos accesos impo ta tes: Po  Calzada Ata asio Tzul y po  30 Ave ida de la zo a 12. Ce ca o a los p i cipales se vicios, ce t os come ciales y e t ete imie to como el Zoológico La Au o a y los museos, To e Pamplo a está ubicado e  u  pu to est atégico y accesible.

& bsp;

& bsp;",https://citymap.com.gt/wp-content/uploads/2020/11/78174720_551757832054989_1168761846505668608_o.jpg,zona-12,Vendido,14.599888,-90.536734,85.0,3.0,2.0,2.0,,,,,2020-11-16,2024-08-15,,
parque-15,Modelo S56,https://citymap.com.gt/propiedades/parque-15/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 15 avenida 3-09 colonia Tecún Umán zona 15.",https://citymap.com.gt/wp-content/uploads/2020/11/106454276_2099131453562141_8149792408544225765_o.jpg,zona-15,Vendido,14.604912,-90.500153,56.0,1.0,1.5,2.0,,,,,2020-11-09,2024-08-14,,
parque-15,Modelo S67,https://citymap.com.gt/propiedades/parque-15/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 15 avenida 3-09 colonia Tecún Umán zona 15.",https://citymap.com.gt/wp-content/uploads/2020/11/106454276_2099131453562141_8149792408544225765_o.jpg,zona-15,Vendido,14.604912,-90.500153,67.0,2.0,2.0,2.0,,,,,2020-11-09,2024-08-14,,
parque-15,Modelo S123,https://citymap.com.gt/propiedades/parque-15/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 15 avenida 3-09 colonia Tecún Umán zona 15.",https://citymap.com.gt/wp-content/uploads/2020/11/106454276_2099131453562141_8149792408544225765_o.jpg,zona-15,Vendido,14.604912,-90.500153,123.0,3.0,3.5,2.0,True,,,,2020-11-09,2024-08-14,,
parque-15,Modelo S95,https://citymap.com.gt/propiedades/parque-15/,"Ubicados en Zona 15. Con apartamentos de 1, 2 o 3 habitaciones. Con más de 6 amenidades. Direccion: 15 avenida 3-09 colonia Tecún Umán zona 15.",https://citymap.com.gt/wp-content/uploads/2020/11/106454276_2099131453562141_8149792408544225765_o.jpg,zona-15,Vendido,14.604912,-90.500153,95.0,3.0,2.0,2.0,,,,,2020-11-09,2024-08-14,,
apartamentos-domos,A,https://citymap.com.gt/propiedades/apartamentos-domos/,"Ubicados en Zona 16. Con apartamentos de 1 o 2 habitaciones. Con más de 5 amenidades. Direccion: 19 Avenida 25-96, Colonia Las Acacias, Guatemala, Guatemala, 01016. Domos apa tame tos e  zo a 16
Comodidad y Vida Familia 
